acutilar golpear
adelgaçar desbastar
cerviz nuca
chapada planalto
comportamento conduta
compromisso obrigação
concernente referente
conserto reparo
crista cimo
desalento desânimo
desatino disparate
discriminar distinguir
espadana labareda
frontispício fachada
funéreo fúnebre
futrica fuxico
gola colarinho
gáudio júbilo
insanidade demência
insigne celebre
insistir perseverar
insolência desaforo
inspeção exame
manhoso jeitoso
nitrir relinchar
néscio estúpido
ornar enfeitar
pileque bebedeira
piparote peteleco
preferência predileção
profícuo proveitoso
referente concernente
relinchar nitrir
veado cervo
